id,category,label,notice
1,C,Regulatory Compliance,"FINANCIAL REPORTING NON-COMPLIANCE NOTICE TO: Global Payment Solutions FROM: Anti-Money Laundering Authority DATE: March 3, 2024 Anti-Money Laundering Authority has determined that Global Payment Solutions has failed to file its quarterly financial disclosure reports as required under Section 7.1 of the Electronic Communications Code 2017. Reports for the periods ending Q2 2024 remain outstanding as of this date. This constitutes a violation of mandatory reporting obligations. Global Payment Solutions is directed to file all outstanding reports within 10 business days. A late filing fee of $15,000 per report will be assessed. Continued non-compliance will result in suspension of Global Payment Solutions's operating license and referral for criminal investigation under applicable statutes."
2,A,Contract Dispute,"NOTICE OF CONTRACT TERMINATION FOR CAUSE TO: Coastal Logistics Partners FROM: Meridian Freight Services DATE: August 19, 2024 This notice serves to inform Coastal Logistics Partners that Meridian Freight Services is exercising its right to terminate the Distribution Agreement dated October 1, 2023 for cause, pursuant to Section 7.1. The grounds for termination include repeated failure to meet minimum purchase commitments and unauthorized sub-distribution to third parties. Meridian Freight Services demands return of all proprietary materials within 14 days and full accounting of sales records for the period Q2 2024. All outstanding payments of $75,000 remain due and payable immediately."
3,B,Intellectual Property Claim,"NOTICE OF PATENT LICENSING OBLIGATION TO: SynthLab Solutions FROM: Quantum IP Holdings DATE: April 7, 2025 Quantum IP Holdings holds an essential patent portfolio covering standards implemented in SynthLab Solutions's product 'VisionAI Toolkit'. As a participant in the USB 4.0 standard, Quantum IP Holdings has committed to licensing these patents on FRAND (Fair, Reasonable, and Non-Discriminatory) terms. SynthLab Solutions's commercial deployment of technology implementing this standard without obtaining a license from Quantum IP Holdings constitutes patent infringement. Quantum IP Holdings invites SynthLab Solutions to enter into good-faith licensing negotiations within 7 days. Failure to respond will be taken as a refusal to negotiate in good faith, and Quantum IP Holdings will pursue all appropriate legal and regulatory remedies."
4,A,Contract Dispute,"BREACH OF CONFIDENTIALITY NOTICE TO: Horizon Enterprises Group FROM: Cascade Software Inc. DATE: October 14, 2024 This correspondence constitutes formal notice under Section 3.4 of the Mutual Non-Disclosure Agreement dated February 14, 2023. It has come to Cascade Software Inc.'s attention that Horizon Enterprises Group has disclosed proprietary business information — including pricing structures, client lists, and product roadmaps — to unauthorized third parties. Such disclosure constitutes a material breach entitling Cascade Software Inc. to seek injunctive relief and damages exceeding $25,000. Horizon Enterprises Group must confirm in writing within 10 days all disclosures made, all recipients of such information, and steps taken to retrieve or contain the disclosed materials."
5,C,Regulatory Compliance,"TELECOMMUNICATIONS LICENCE COMPLIANCE NOTICE TO: Pinnacle Lending Solutions Inc. FROM: Office of Financial Regulation DATE: May 16, 2025 Office of Financial Regulation writes to advise that Pinnacle Lending Solutions Inc.'s network operations are in breach of Licence Condition 9.3 of its telecommunications operating licence, granted under the Electronic Communications Code 2017. Specifically, Pinnacle Lending Solutions Inc. has failed to meet mandatory service availability targets for 50 consecutive months and has not implemented required network redundancy measures. Pinnacle Lending Solutions Inc. must submit a detailed remediation plan and timeline within 14 days. Continued breach beyond that date will result in formal enforcement proceedings, including imposition of financial penalties calculated at 10% of relevant turnover, up to a maximum of $350,000."
6,B,Intellectual Property Claim,"NOTICE OF SOFTWARE LICENSE VIOLATION TO: ContentStream Media FROM: Artisan Copyright Trust DATE: March 25, 2025 Artisan Copyright Trust develops and owns the software 'AutoScale Engine', licensed under a commercial End User License Agreement (EULA). An audit has confirmed that ContentStream Media has deployed Artisan Copyright Trust's software on 2500 servers without valid licenses, constituting copyright infringement and a material breach of the EULA. Unlicensed use is estimated to have caused Artisan Copyright Trust revenue losses of $75,000. ContentStream Media is directed to immediately cease unlicensed use, purchase all required licenses, and remit retroactive license fees within 21 days. Non-compliance will result in legal proceedings and referral to the Software Alliance for enforcement."
7,C,Regulatory Compliance,"CONSUMER PROTECTION COMPLIANCE NOTICE TO: FastBuy E-Commerce Ltd. FROM: Consumer Protection Bureau DATE: June 10, 2024 Following a review of consumer complaints received between Q2 2023, Consumer Protection Bureau has determined that FastBuy E-Commerce Ltd.'s marketing practices constitute violations of the Consumer Financial Protection Act (CFPA). Specifically, FastBuy E-Commerce Ltd. has engaged in misleading pricing representations and failed to honor statutory refund rights. You are directed to revise all non-compliant advertising materials and implement a compliant refund process within 10 days. Full compliance reports must be submitted to this office. Failure to comply will result in public enforcement action, mandatory consumer redress, and fines of up to $500,000."
8,C,Regulatory Compliance,"ANTI-MONEY LAUNDERING COMPLIANCE DIRECTIVE TO: Global Payment Solutions FROM: Anti-Money Laundering Authority DATE: January 9, 2025 Pursuant to the Clean Air Act, 42 U.S.C. § 7401 et seq., Anti-Money Laundering Authority has identified significant deficiencies in Global Payment Solutions's anti-money laundering (AML) controls. An audit conducted on May 5, 2023 found that Global Payment Solutions failed to conduct adequate customer due diligence on 45000 high-risk accounts and did not file required Suspicious Activity Reports (SARs). These deficiencies constitute serious regulatory violations. Global Payment Solutions must implement enhanced AML procedures and submit a remediation plan within 10 days. Failure to remediate will result in regulatory sanctions, including fines of up to $15,000 and potential license revocation."
9,B,Intellectual Property Claim,"NOTICE OF SOFTWARE LICENSE VIOLATION TO: OpenSource Dynamics Ltd. FROM: InnovateTech IP DATE: November 27, 2024 InnovateTech IP develops and owns the software 'DataStream Analyzer', licensed under a commercial End User License Agreement (EULA). An audit has confirmed that OpenSource Dynamics Ltd. has deployed InnovateTech IP's software on 50 servers without valid licenses, constituting copyright infringement and a material breach of the EULA. Unlicensed use is estimated to have caused InnovateTech IP revenue losses of $15,000. OpenSource Dynamics Ltd. is directed to immediately cease unlicensed use, purchase all required licenses, and remit retroactive license fees within 30 days. Non-compliance will result in legal proceedings and referral to the Software Alliance for enforcement."
10,C,Regulatory Compliance,"CONSUMER PROTECTION COMPLIANCE NOTICE TO: StreamLine Networks Ltd. FROM: Telecommunications Regulatory Office DATE: April 7, 2025 Following a review of consumer complaints received between Q2 2024, Telecommunications Regulatory Office has determined that StreamLine Networks Ltd.'s marketing practices constitute violations of the Food Safety Modernization Act (FSMA). Specifically, StreamLine Networks Ltd. has engaged in misleading pricing representations and failed to honor statutory refund rights. You are directed to revise all non-compliant advertising materials and implement a compliant refund process within 10 days. Full compliance reports must be submitted to this office. Failure to comply will result in public enforcement action, mandatory consumer redress, and fines of up to $150,000."
11,B,Intellectual Property Claim,"NOTICE OF PATENT INFRINGEMENT TO: Global Brands Inc. FROM: TradeMark Shield LLC DATE: December 2, 2024 TradeMark Shield LLC is the owner of U.S. Patent No. US 9,336,928, entitled 'Distributed Ledger Reconciliation Protocol', duly registered and in full force. It has come to TradeMark Shield LLC's attention that Global Brands Inc.'s product 'DataStream Analyzer' directly infringes one or more claims of this patent, specifically Claims 5-8. TradeMark Shield LLC demands that Global Brands Inc. immediately cease all manufacture, sale, and distribution of the infringing product and provide a written response within 10 days confirming compliance. Failure to do so will result in legal proceedings seeking injunctive relief and damages, including lost profits and reasonable royalties."
12,A,Contract Dispute,"NOTICE OF CONTRACT BREACH TO: Pinnacle Construction Ltd. FROM: TerraForm Engineering DATE: March 25, 2025 This notice is to formally advise that Pinnacle Construction Ltd. has materially breached the Service Agreement dated June 30, 2022 by failing to deliver the contracted software modules within the agreed timeline. As of this date, 30 days have elapsed beyond the delivery deadline stipulated in Section 9.3. TerraForm Engineering hereby demands full performance or written remediation plan within 21 calendar days. Failure to cure this breach will result in termination of the agreement and pursuit of all available legal remedies, including damages of no less than $25,000."
13,B,Intellectual Property Claim,"NOTICE OF PLAGIARISM AND COPYRIGHT VIOLATION TO: Digital Audio Networks FROM: SoundMark Entertainment DATE: March 3, 2024 SoundMark Entertainment is the author and copyright holder of the work 'Distributed Ledger Reconciliation Protocol', published in 2022. A detailed comparison confirms that Digital Audio Networks's publication 'SecureVault API', released on February 14, 2023, reproduces substantial portions of SoundMark Entertainment's work verbatim without attribution or license. This constitutes copyright infringement under 17 U.S.C. § 501. SoundMark Entertainment demands immediate withdrawal of the infringing publication, public attribution, and payment of licensing fees retroactively calculated at $75,000. A written response is required within 21 days or SoundMark Entertainment will pursue all legal remedies including statutory damages."
14,B,Intellectual Property Claim,"NOTICE OF PATENT INFRINGEMENT TO: DevStack Innovations FROM: CodePatent Partners DATE: November 27, 2024 CodePatent Partners is the owner of U.S. Patent No. US 8,012,021, entitled 'Autonomous Content Classification Engine', duly registered and in full force. It has come to CodePatent Partners's attention that DevStack Innovations's product 'ProSuite Enterprise v4.0' directly infringes one or more claims of this patent, specifically Claims 1-5. CodePatent Partners demands that DevStack Innovations immediately cease all manufacture, sale, and distribution of the infringing product and provide a written response within 30 days confirming compliance. Failure to do so will result in legal proceedings seeking injunctive relief and damages, including lost profits and reasonable royalties."
15,B,Intellectual Property Claim,"TRADEMARK INFRINGEMENT AND PASSING-OFF NOTICE TO: ByteStream Technologies Inc. FROM: NovaTech Patents LLC DATE: May 22, 2024 NovaTech Patents LLC is the registered owner of the trademark 'CLOUDPEAK' (Registration No. REG-36062), covering goods and services in Class 16. ByteStream Technologies Inc. has been using a confusingly similar mark 'DataStream Analyzer' in commerce, likely to cause consumer confusion and dilute NovaTech Patents LLC's brand. This use constitutes trademark infringement under 15 U.S.C. § 1114 and passing-off under common law. NovaTech Patents LLC demands immediate discontinuation of all use of the infringing mark, withdrawal of all related marketing materials, and a written response within 14 days. Legal action will follow without further notice if these demands are not met."
16,A,Contract Dispute,"DISPUTE NOTICE — EXCLUSIVITY VIOLATION TO: Radiant Broadcasting Corp. FROM: Luminary Media Group DATE: March 25, 2025 This notice is issued to Radiant Broadcasting Corp. regarding a breach of the exclusivity provisions in the Licensing Agreement dated January 15, 2022. Section 3.4 of that agreement grants Luminary Media Group the exclusive right to distribute Radiant Broadcasting Corp.'s products within the Asia-Pacific region. Luminary Media Group has evidence that Radiant Broadcasting Corp. has directly supplied products to Luminary Media Group's clients and appointed competing distributors in the exclusive territory. This constitutes a material breach. Luminary Media Group demands immediate cessation and compensation for lost revenues estimated at $15,000, with a response required within 30 business days."
17,A,Contract Dispute,"DISPUTE NOTICE — EXCLUSIVITY VIOLATION TO: Horizon Enterprises Group FROM: Cascade Software Inc. DATE: December 2, 2024 This notice is issued to Horizon Enterprises Group regarding a breach of the exclusivity provisions in the Licensing Agreement dated June 30, 2022. Section 6.8 of that agreement grants Cascade Software Inc. the exclusive right to distribute Horizon Enterprises Group's products within the Latin America region. Cascade Software Inc. has evidence that Horizon Enterprises Group has directly supplied products to Cascade Software Inc.'s clients and appointed competing distributors in the exclusive territory. This constitutes a material breach. Cascade Software Inc. demands immediate cessation and compensation for lost revenues estimated at $350,000, with a response required within 14 business days."
18,C,Regulatory Compliance,"ENVIRONMENTAL NON-COMPLIANCE NOTICE TO: Premier Food Processing Corp. FROM: Food Safety Regulatory Board DATE: May 22, 2024 An inspection of Premier Food Processing Corp.'s facility at 7 Industrial Estate Road, Chicago, IL 60601 on May 5, 2023 revealed violations of the Clean Air Act, 42 U.S.C. § 7401 et seq.. Specifically, emissions from Premier Food Processing Corp.'s operations were measured at 500% above the permitted threshold under License No. REG-36062. You are ordered to immediately reduce emissions to compliant levels, submit an environmental impact report within 7 days, and propose a binding remediation schedule. Continued non-compliance beyond the stated deadline will result in mandatory facility suspension and civil penalties of $100,000 per violation. This notice is issued without prejudice to further enforcement action."
19,C,Regulatory Compliance,"WORKPLACE SAFETY ENFORCEMENT NOTICE TO: Horizon Capital Partners FROM: Securities Enforcement Division DATE: April 7, 2025 An unannounced workplace inspection conducted on September 12, 2022 identified serious violations of the Electronic Communications Code 2017 at Horizon Capital Partners's premises. Hazards identified include inadequate machine guarding, absence of required safety signage, and failure to maintain mandatory incident logs. These violations present an imminent risk to worker safety. Horizon Capital Partners is directed to cease the affected operations immediately and submit a corrective action plan within 10 days. Penalties of up to $100,000 per violation will apply. A follow-up inspection will be conducted within 45 days to verify compliance."
20,A,Contract Dispute,"BREACH OF CONFIDENTIALITY NOTICE TO: Harmon & Associates Ltd. FROM: SilverBridge Capital LLC DATE: October 14, 2024 This correspondence constitutes formal notice under Section 7.1 of the Mutual Non-Disclosure Agreement dated November 1, 2022. It has come to SilverBridge Capital LLC's attention that Harmon & Associates Ltd. has disclosed proprietary business information — including pricing structures, client lists, and product roadmaps — to unauthorized third parties. Such disclosure constitutes a material breach entitling SilverBridge Capital LLC to seek injunctive relief and damages exceeding $25,000. Harmon & Associates Ltd. must confirm in writing within 21 days all disclosures made, all recipients of such information, and steps taken to retrieve or contain the disclosed materials."
21,B,Intellectual Property Claim,"NOTICE OF SOFTWARE LICENSE VIOLATION TO: Global Brands Inc. FROM: TradeMark Shield LLC DATE: June 10, 2024 TradeMark Shield LLC develops and owns the software 'ProSuite Enterprise v4.0', licensed under a commercial End User License Agreement (EULA). An audit has confirmed that Global Brands Inc. has deployed TradeMark Shield LLC's software on 10000 servers without valid licenses, constituting copyright infringement and a material breach of the EULA. Unlicensed use is estimated to have caused TradeMark Shield LLC revenue losses of $75,000. Global Brands Inc. is directed to immediately cease unlicensed use, purchase all required licenses, and remit retroactive license fees within 7 days. Non-compliance will result in legal proceedings and referral to the Software Alliance for enforcement."
22,C,Regulatory Compliance,"NOTICE OF REGULATORY VIOLATION TO: Meridian Manufacturing Co. FROM: Health & Safety Enforcement Agency DATE: January 9, 2025 Following an inspection conducted on May 5, 2023, Health & Safety Enforcement Agency has determined that Meridian Manufacturing Co. is in violation of Section 12.5 of the Occupational Safety and Health Act (OSHA). Specifically, Meridian Manufacturing Co. has failed to maintain adequate records of customer transactions as mandated by applicable regulations. You are hereby directed to implement all required remediation measures within 30 calendar days of this notice. Failure to comply will result in the imposition of civil penalties of up to $500,000 per day of continued non-compliance. A written remediation plan must be submitted to this office by no later than the end of the current quarter."
23,C,Regulatory Compliance,"ENVIRONMENTAL NON-COMPLIANCE NOTICE TO: StreamLine Networks Ltd. FROM: Telecommunications Regulatory Office DATE: May 16, 2025 An inspection of StreamLine Networks Ltd.'s facility at 450 Commerce Drive, Houston, TX 77002 on September 12, 2022 revealed violations of the Financial Industry Regulatory Authority (FINRA) Rule 4370. Specifically, emissions from StreamLine Networks Ltd.'s operations were measured at 1200% above the permitted threshold under License No. REG-36062. You are ordered to immediately reduce emissions to compliant levels, submit an environmental impact report within 7 days, and propose a binding remediation schedule. Continued non-compliance beyond the stated deadline will result in mandatory facility suspension and civil penalties of $200,000 per violation. This notice is issued without prejudice to further enforcement action."
24,C,Regulatory Compliance,"ANTI-MONEY LAUNDERING COMPLIANCE DIRECTIVE TO: National Staffing Group FROM: Workplace Standards Authority DATE: February 18, 2025 Pursuant to the Occupational Safety and Health Act (OSHA), Workplace Standards Authority has identified significant deficiencies in National Staffing Group's anti-money laundering (AML) controls. An audit conducted on September 12, 2022 found that National Staffing Group failed to conduct adequate customer due diligence on 300 high-risk accounts and did not file required Suspicious Activity Reports (SARs). These deficiencies constitute serious regulatory violations. National Staffing Group must implement enhanced AML procedures and submit a remediation plan within 21 days. Failure to remediate will result in regulatory sanctions, including fines of up to $15,000 and potential license revocation."
25,A,Contract Dispute,"NOTICE OF NON-COMPETE VIOLATION TO: Arbor Investment Holdings FROM: Keystone Financial Services DATE: March 25, 2025 Pursuant to Section 3.4 of the Employment and Consulting Agreement dated February 14, 2023, this notice serves to advise Arbor Investment Holdings of a clear violation of the non-compete and non-solicitation provisions. Arbor Investment Holdings has engaged in directly competitive business activities and solicited Keystone Financial Services's clients within the restricted period and geography. Keystone Financial Services demands immediate cessation of all such activities. Continued violations will result in an application for injunctive relief and a claim for liquidated damages as specified in the agreement, estimated at $350,000."
26,A,Contract Dispute,"NOTICE OF FORCE MAJEURE DISPUTE TO: Sunstone Development LLC FROM: Greenfield Realty Partners DATE: July 8, 2024 Greenfield Realty Partners writes to formally contest Sunstone Development LLC's invocation of the force majeure clause under Section 7.1 of the Supply Agreement dated August 20, 2023. The circumstances cited by Sunstone Development LLC do not meet the contractual threshold for force majeure relief, as supply chain disruptions of this nature were foreseeable and should have been mitigated. Accordingly, Greenfield Realty Partners holds Sunstone Development LLC liable for delivery failures resulting in losses of $350,000. A written response is required within 21 business days, or this matter will be escalated to arbitration."
